날짜,거래회전율,환율
2021-07-30,0.277701308,0.587666667
2021-08-02,0.172401927,0.5875
2021-08-03,0.319683414,0.580833333
2021-08-04,0.358310392,0.582166667
2021-08-05,0.243117688,0.590333333
2021-08-06,0.207501721,0.594166667
2021-08-09,0.229955265,0.596166667
2021-08-10,0.285788025,0.591666667
2021-08-11,0.463953889,0.585833333
2021-08-12,0.616139023,0.575
2021-08-13,0.635839642,0.5685
2021-08-17,0.461889195,0.553666667
2021-08-18,0.40012044,0.541833333
2021-08-19,0.373709566,0.5455
2021-08-20,0.387216105,0.5425
2021-08-23,0.341448727,0.538833333
2021-08-24,0.331211287,0.543333333
2021-08-25,0.288885065,0.553333333
2021-08-26,0.272367515,0.555833333
2021-08-27,0.185220234,0.553166667
2021-08-30,0.151582932,0.548666667
2021-08-31,0.513850654,0.559333333
2021-09-01,0.274776325,0.562
2021-09-02,0.217136958,0.570833333
2021-09-03,0.219545767,0.567166667
2021-09-06,0.15407777,0.572666667
2021-09-07,0.106073641,0.571166667
2021-09-08,0.369838266,0.570166667
2021-09-09,0.430230557,0.559166667
2021-09-10,0.268238128,0.549833333
2021-09-13,0.20285616,0.549333333
2021-09-14,0.406142464,0.542833333
2021-09-15,0.239246387,0.546333333
2021-09-16,0.219459738,0.547166667
2021-09-17,0.326479697,0.5515
2021-09-23,0.325017206,0.537333333
2021-09-24,0.222556779,0.5305
2021-09-27,0.152615279,0.541166667
2021-09-28,0.282690984,0.540166667
2021-09-29,0.386958018,0.53
2021-09-30,0.314521679,0.525166667
2021-10-01,0.238558156,0.524666667
2021-10-05,0.409325533,0.521333333
2021-10-06,0.359944942,0.5215
2021-10-07,0.283121129,0.516666667
2021-10-08,0.260323469,0.516166667
2021-10-12,0.436596696,0.511
2021-10-13,0.343599449,0.5015
2021-10-14,0.311252581,0.508333333
2021-10-15,0.278045423,0.5195
2021-10-18,0.159927736,0.528666667
2021-10-19,0.093943565,0.523666667
2021-10-20,0.156916724,0.5305
2021-10-21,0.15330351,0.540666667
2021-10-22,0.066242257,0.540333333
2021-10-25,0.195199587,0.536
2021-10-26,0.129559532,0.547
2021-10-27,0.130075705,0.556166667
2021-10-28,0.388764625,0.553166667
2021-10-29,0.290347557,0.547166667
2021-11-01,0.11794563,0.550666667
2021-11-02,0.195371645,0.5395
2021-11-03,0.165347557,0.540833333
2021-11-04,0.17687543,0.5315
2021-11-05,0.175584997,0.533333333
2021-11-08,0.122161046,0.524666667
2021-11-09,0.106331727,0.526166667
2021-11-10,0.067962836,0.536
2021-11-11,0.16982106,0.531666667
2021-11-12,0.106675843,0.5255
2021-11-15,0.195629732,0.534
2021-11-16,0.122505162,0.533
2021-11-17,0.188833448,0.534
2021-11-18,0.165003441,0.527333333
2021-11-19,0.237095664,0.5325
2021-11-22,0.415691672,0.5275
2021-11-23,0.317962836,0.521
2021-11-24,0.199501032,0.5185
2021-11-25,0.134979353,0.519166667
2021-11-26,0.196662078,0.517166667
2021-11-29,0.35693393,0.511666667
2021-11-30,0.533121129,0.511
2021-12-01,0.360289057,0.5205
2021-12-02,0.355385409,0.532833333
2021-12-03,0.261699931,0.537833333
2021-12-06,0.246386786,0.535666667
2021-12-07,0.28931521,0.527166667
2021-12-08,0.336545079,0.531333333
2021-12-09,0.362869924,0.539333333
2021-12-10,0.079748796,0.543666667
2021-12-13,0.223933242,0.536333333
2021-12-14,0.097384721,0.535333333
2021-12-15,0.059876118,0.527333333
2021-12-16,0.159325533,0.523
2021-12-17,0.203888507,0.5275
2021-12-20,0.12895733,0.526
2021-12-21,0.160701996,0.517
2021-12-22,0.218255334,0.514166667
2021-12-23,0.155540262,0.514666667
2021-12-24,0.144012388,0.520833333
2021-12-27,0.18315554,0.522666667
2021-12-28,0.328114246,0.523
2021-12-29,0.365278734,0.522166667
2021-12-30,0.241311081,0.522333333
2022-01-03,0.168788713,0.524166667
2022-01-04,0.264280798,0.515333333
2022-01-05,0.481503785,0.5095
2022-01-06,0.332071576,0.503
2022-01-07,0.264366827,0.500666667
2022-01-10,0.245354439,0.496
2022-01-11,0.287852719,0.5
2022-01-12,0.249655884,0.508
2022-01-13,0.295423262,0.516833333
2022-01-14,0.228578802,0.519666667
2022-01-17,0.177391604,0.520666667
2022-01-18,0.168788713,0.512833333
2022-01-19,0.24371989,0.5185
2022-01-20,0.184618032,0.513666667
2022-01-21,0.29482106,0.516
2022-01-24,0.215158293,0.510666667
2022-01-25,0.328716449,0.509666667
2022-01-26,0.197006194,0.503666667
2022-01-27,0.465760496,0.505
2022-01-28,0.383860977,0.496
2022-02-03,0.338179628,0.4905
2022-02-04,0.175843083,0.491
2022-02-07,0.229783207,0.500833333
2022-02-08,0.192016518,0.501
2022-02-09,0.218169305,0.503666667
2022-02-10,0.337663455,0.506666667
2022-02-11,0.267980041,0.506666667
2022-02-14,0.233912595,0.500666667
2022-02-15,0.11717137,0.502833333
2022-02-16,0.12577426,0.5025
2022-02-17,0.244064006,0.505166667
2022-02-18,0.084308328,0.504833333
2022-02-21,0.089900206,0.506
2022-02-22,0.141259463,0.509
2022-02-23,0.081039229,0.508833333
2022-02-24,0.317446662,0.513166667
2022-02-25,0.210598761,0.501
2022-02-28,0.253441156,0.4955
2022-03-02,0.174466621,0.490666667
2022-03-03,0.177219546,0.491666667
2022-03-04,0.148743978,0.494
2022-03-07,0.286304198,0.480833333
2022-03-08,0.225481762,0.457666667
2022-03-10,0.392377839,0.4425
2022-03-11,0.259893324,0.452166667
2022-03-14,0.190640055,0.446
2022-03-15,0.179026153,0.435666667
2022-03-16,0.132140399,0.4305
2022-03-17,0.350567791,0.432666667
2022-03-18,0.287852719,0.465666667
2022-03-21,0.139796972,0.4815
2022-03-22,0.147883689,0.477166667
2022-03-23,0.190726084,0.464333333
2022-03-24,0.416551961,0.478833333
2022-03-25,0.198468685,0.467666667
2022-03-28,0.112783895,0.4695
2022-03-29,0.132742602,0.457166667
2022-03-30,0.157604955,0.465833333
2022-03-31,0.145818995,0.482
2022-04-01,0.179972471,0.482166667
2022-04-04,0.036906401,0.473166667
2022-04-05,0.030368204,0.472166667
2022-04-06,0.234170681,0.479
2022-04-07,0.308843772,0.468166667
2022-04-08,0.226944253,0.469166667
2022-04-11,0.144012388,0.46
2022-04-12,0.160185822,0.446666667
2022-04-13,0.18083276,0.439
2022-04-14,0.237611838,0.453833333
2022-04-15,0.121644873,0.459666667
2022-04-18,0.024174123,0.449833333
2022-04-19,0.090846524,0.445333333
